But O -1
the O -1
staff B-ASP 0
was O -1
so O -1
horrible O -1
to O -1
us. O -1

To O -1
be O -1
completely O -1
fair, O -1
the O -1
only O -1
redeeming O -1
factor O -1
was O -1
the O -1
food, B-ASP 3
which O -1
was O -1
above O -1
average, O -1
but O -1
couldn't O -1
make O -1
up O -1
for O -1
all O -1
the O -1
other O -1
deficiencies O -1
of O -1
Teodora. O -1

The O -1
food B-ASP 3
is O -1
uniformly O -1
exceptional, O -1
with O -1
a O -1
very O -1
capable O -1
kitchen O -1
which O -1
will O -1
proudly O -1
whip O -1
up O -1
whatever O -1
you O -1
feel O -1
like O -1
eating, O -1
whether O -1
it's O -1
on O -1
the O -1
menu O -1
or O -1
not. O -1

The O -1
food O -1
is O -1
uniformly O -1
exceptional, O -1
with O -1
a O -1
very O -1
capable O -1
kitchen B-ASP 3
which O -1
will O -1
proudly O -1
whip O -1
up O -1
whatever O -1
you O -1
feel O -1
like O -1
eating, O -1
whether O -1
it's O -1
on O -1
the O -1
menu O -1
or O -1
not. O -1

The O -1
food O -1
is O -1
uniformly O -1
exceptional, O -1
with O -1
a O -1
very O -1
capable O -1
kitchen O -1
which O -1
will O -1
proudly O -1
whip O -1
up O -1
whatever O -1
you O -1
feel O -1
like O -1
eating, O -1
whether O -1
it's O -1
on O -1
the O -1
menu B-ASP 3
or O -1
not. O -1

Not O -1
only O -1
was O -1
the O -1
food B-ASP 3
outstanding, O -1
but O -1
the O -1
little O -1
'perks' O -1
were O -1
great. O -1

Not O -1
only O -1
was O -1
the O -1
food O -1
outstanding, O -1
but O -1
the O -1
little O -1
'perks' O -1
were B-ASP -1
great. O -1

Our O -1
agreed O -1
favorite O -1
is O -1
the O -1
orrechiete B-ASP 3
with I-ASP 3
sausage I-ASP 3
and I-ASP 3
chicken I-ASP 3
(usually O -1
the O -1
waiters O -1
are O -1
kind O -1
enough O -1
to O -1
split O -1
the O -1
dish O -1
in O -1
half O -1
so O -1
you O -1
get O -1
to O -1
sample O -1
both O -1
meats). O -1

Our O -1
agreed O -1
favorite O -1
is O -1
the O -1
orrechiete O -1
with O -1
sausage O -1
and O -1
chicken O -1
(usually O -1
the O -1
waiters B-ASP 3
are O -1
kind O -1
enough O -1
to O -1
split O -1
the O -1
dish O -1
in O -1
half O -1
so O -1
you O -1
get O -1
to O -1
sample O -1
both O -1
meats). O -1

Our O -1
agreed O -1
favorite O -1
is O -1
the O -1
orrechiete O -1
with O -1
sausage O -1
and O -1
chicken O -1
(usually O -1
the O -1
waiters O -1
are O -1
kind O -1
enough O -1
to O -1
split O -1
the O -1
dish O -1
in O -1
half O -1
so O -1
you O -1
get O -1
to O -1
sample O -1
both O -1
meats). B-ASP 3

Our O -1
agreed O -1
favorite O -1
is O -1
the O -1
orrechiete O -1
with O -1
sausage O -1
and O -1
chicken O -1
(usually O -1
the O -1
waiters O -1
are O -1
kind O -1
enough O -1
to O -1
split O -1
the O -1
dish B-ASP 3
in O -1
half O -1
so O -1
you O -1
get O -1
to O -1
sample O -1
both O -1
meats). O -1

The O -1
Bagels B-ASP 3
have O -1
an O -1
outstanding O -1
taste O -1
with O -1
a O -1
terrific O -1
texture, O -1
both O -1
chewy O -1
yet O -1
not O -1
gummy. O -1

Nevertheless O -1
the O -1
food B-ASP 3
itself O -1
is O -1
pretty O -1
good. O -1

i've O -1
noticed O -1
megadeth, O -1
mr. O -1
scruff, O -1
st. O -1
germain, O -1
traditional O -1
vietnamese O -1
songs, B-ASP 0
black O -1
sabbath, O -1
jay-z, O -1
and O -1
daft O -1
punk O -1
all O -1
being O -1
played. O -1

They O -1
did O -1
not O -1
have O -1
mayonnaise, O -1
forgot O -1
our O -1
toast, B-ASP 5
left O -1
out O -1
ingredients O -1
(ie O -1
cheese O -1
in O -1
an O -1
omelet), O -1
below O -1
hot O -1
temperatures O -1
and O -1
the O -1
bacon O -1
was O -1
so O -1
over O -1
cooked O -1
it O -1
crumbled O -1
on O -1
the O -1
plate O -1
when O -1
you O -1
touched O -1
it. O -1

They O -1
did O -1
not O -1
have O -1
mayonnaise, B-ASP 5
forgot O -1
our O -1
toast, O -1
left O -1
out O -1
ingredients O -1
(ie O -1
cheese O -1
in O -1
an O -1
omelet), O -1
below O -1
hot O -1
temperatures O -1
and O -1
the O -1
bacon O -1
was O -1
so O -1
over O -1
cooked O -1
it O -1
crumbled O -1
on O -1
the O -1
plate O -1
when O -1
you O -1
touched O -1
it. O -1

They O -1
did O -1
not O -1
have O -1
mayonnaise, O -1
forgot O -1
our O -1
toast, O -1
left O -1
out O -1
ingredients O -1
(ie O -1
cheese O -1
in O -1
an O -1
omelet), O -1
below O -1
hot O -1
temperatures O -1
and O -1
the O -1
bacon B-ASP 5
was O -1
so O -1
over O -1
cooked O -1
it O -1
crumbled O -1
on O -1
the O -1
plate O -1
when O -1
you O -1
touched O -1
it. O -1

They O -1
did O -1
not O -1
have O -1
mayonnaise, O -1
forgot O -1
our O -1
toast, O -1
left O -1
out O -1
ingredients O -1
(ie O -1
cheese B-ASP 5
in O -1
an O -1
omelet), O -1
below O -1
hot O -1
temperatures O -1
and O -1
the O -1
bacon O -1
was O -1
so O -1
over O -1
cooked O -1
it O -1
crumbled O -1
on O -1
the O -1
plate O -1
when O -1
you O -1
touched O -1
it. O -1

They O -1
did O -1
not O -1
have O -1
mayonnaise, O -1
forgot O -1
our O -1
toast, O -1
left O -1
out O -1
ingredients B-ASP 5
(ie O -1
cheese O -1
in O -1
an O -1
omelet), O -1
below O -1
hot O -1
temperatures O -1
and O -1
the O -1
bacon O -1
was O -1
so O -1
over O -1
cooked O -1
it O -1
crumbled O -1
on O -1
the O -1
plate O -1
when O -1
you O -1
touched O -1
it. O -1

They O -1
did O -1
not O -1
have O -1
mayonnaise, O -1
forgot O -1
our O -1
toast, O -1
left O -1
out O -1
ingredients O -1
(ie O -1
cheese O -1
in O -1
an O -1
omelet), O -1
below O -1
hot O -1
temperatures O -1
and O -1
the O -1
bacon O -1
was O -1
so O -1
over O -1
cooked O -1
it O -1
crumbled O -1
on O -1
the O -1
plate B-ASP 5
when O -1
you O -1
touched O -1
it. O -1

They O -1
did O -1
not O -1
have O -1
mayonnaise, O -1
forgot O -1
our O -1
toast, O -1
left O -1
out O -1
ingredients O -1
(ie O -1
cheese O -1
in O -1
an O -1
omelet), B-ASP 5
below O -1
hot O -1
temperatures O -1
and O -1
the O -1
bacon O -1
was O -1
so O -1
over O -1
cooked O -1
it O -1
crumbled O -1
on O -1
the O -1
plate O -1
when O -1
you O -1
touched O -1
it. O -1

It O -1
took O -1
half O -1
an O -1
hour O -1
to O -1
get O -1
our O -1
check, O -1
which O -1
was O -1
perfect O -1
since O -1
we O -1
could O -1
sit, O -1
have O -1
drinks B-ASP 3
and O -1
talk! O -1

It O -1
took O -1
half O -1
an O -1
hour O -1
to O -1
get O -1
our O -1
check, B-ASP 3
which O -1
was O -1
perfect O -1
since O -1
we O -1
could O -1
sit, O -1
have O -1
drinks O -1
and O -1
talk! O -1

The O -1
design B-ASP 3
and O -1
atmosphere O -1
is O -1
just O -1
as O -1
good. O -1

The O -1
design O -1
and O -1
atmosphere B-ASP 3
is O -1
just O -1
as O -1
good. O -1

He O -1
has O -1
visited O -1
Thailand O -1
and O -1
is O -1
quite O -1
expert O -1
on O -1
the O -1
cuisine. B-ASP 3

The O -1
pizza B-ASP 3
is O -1
